brand,country,medium,headline,industry
Samsung,United States,TV & Cinema,turn on tomorrow,Electronics & Audio-Visual
Sanzer,Thailand,Print,what you really touch,Beauty & Health
,Brazil,Print,shopping the kind of pleasure women dont need to fake claudia is a publication that is 100 brazilian and read by 2 million people from all corners of brazil it covers a great variety of topics in a way is not only clever but also contemporary if women are your target audience claudia is the best option for you,Media & Publishing
Auckland Zoo,New Zealand,Print,rukiya  zabulu are proud to announce the arrival of their beautiful baby boy jelani born 600am friday march 5th at their home mum and baby are doing well come see our new baby giraffe auckland zoo,"Culture, Recreation & Sport"
Sommiercenter,Argentina,Print,sleep then drive sommiercenter mattresses,"House, Garden & Pets"
World Wildlife Fund (WWF),France,Print,what will it take before we respect the planet,Public interest & Non-profit
SNCF,France,TV & Cinema,tgv take the time to go faster,Transport & Tourism
BT,Spain,TV & Cinema,you talk and the whole world answers,Professional & Public services
Northeast Ohio Media Group,United States,Print,from local news to stories that capture the imagination of the world turn to the quality journalism of the plain dealer clevelandcom and sun news the news never stops well help you keep up,Media & Publishing
Trienergy,Colombia,Print,health has no replacement,Industrial & Agricultural
Ambi Pur,Australia,Print,cures car smells,"House, Garden & Pets"
Johnson & Johnson,China,Print,you are stronger than the demon in the bugs eye,"House, Garden & Pets"
AVIVA,France,Print,using a mobile phone while driving is a serious danger,Financial & Legal services
IBM,Singapore,Print,for a long time the chan brothers thought that computers are complicated and very expensive now they find it diffictult to understand why it can be so simple,Electronics & Audio-Visual
Amnesty International,Venezuela,Print,no more bullets in the streets,Public interest & Non-profit
Aucma,China,Print,wind of china,Electronics & Audio-Visual
Huggies,United States,TV & Cinema,enjoy the ride,"House, Garden & Pets"
Bicky,Belgium,TV & Cinema,what your mouths made for,Food & Beverages
Swiss Deluxe Hotels,Switzerland,Print,some guests just dont want to go home,Transport & Tourism
Ameno,Spain,TV & Cinema,a new language is born,Electronics & Audio-Visual
Jose Cuervo,United States,TV & Cinema,a shot of adventure,Alcoholic drinks
Upstate Farms milk,United States,Print,our cows work hard for us so we work our hardest foor them welcome back to the farm,Food & Beverages
Sony,Brazil,Outdoor,2012 we were warned,"Culture, Recreation & Sport"
Milupa,Ireland,Print,every bowl of milupa is specially made for babies and only for them with over 30 years of expertise in baby nutrition we ensure that each bowl can help provide a healthy balance of energy and key nutrients essential for your growing baby,Food & Beverages
The Beers,Brazil,Print,music makes everything better even beer the beers project the perfect mix between premium music and beer 5 music styles that bring 5 different flavor,"Culture, Recreation & Sport"
,China,TV & Cinema,rainie yang more fresh  rainie yang plays in the country with children they drink milk feed and bathe the cows     rainie yang why do you drink top fresh kids because it is more fresh cow yes vo foremost uses the latest technology from hokkaido to rear cattle they eat well sleep well as well as listening to music and bathing cow yes rainie top fresh has the unique storage technique of nitrogen so both the manufacturing and packing of milk is protected with nitrogen the,Food & Beverages
,Australia,Print,dangers lurk in every workplace we help you avoid them wwwdirqldgovau lets not meet by accident,Industrial & Agricultural
,Taiwan,Print,super absorbent dries up in a split second,"House, Garden & Pets"
9Mobile,Nigeria,Print,without you we wouldnt exist,Electronics & Audio-Visual
Volkswagen,Germany,Print,absurdly low consumption the polo bluemotion,Automotive & Services
Electrolux,Colombia,Print,long arm vacuums,Electronics & Audio-Visual
,China,Print,if you have no capacity for liquor drink the nonalcoholic,Alcoholic drinks
,Taiwan,Print,a prayer from a noble woman,Retail & Distribution
Cheetos,United States,TV & Cinema,take a cheetos break,Food & Beverages
Compassion In World Farming,United Kingdom,Outdoor,for many its standing room only for the next 30 hours  stop live exports,Public interest & Non-profit
Ecovia,Brazil,Print,a can here throws everything off balance,Public interest & Non-profit
ADfel,Romania,Print,we salute the power of unconventional thinking,Professional & Public services
ESPN,Singapore,Print,you wont miss a thing,Media & Publishing
Ovacion,Uruguay,Print,read it live it,Media & Publishing
Grupo Editorial Record,Brazil,Print,research shows that firearms kill 3 times more black people than white racism hides in the smallest of details mind the details,Media & Publishing
Audi,Brazil,Print,luxury has everything to do with nature,Automotive & Services
,Taiwan,Print,bloodsucking purchase if you have to pay high interest rate,Financial & Legal services
Volkswagen,Germany,Print,the right distance makes all the difference,Automotive & Services
UNEP,United Kingdom,TV & Cinema,the world is your home look after it,Public interest & Non-profit
,Taiwan,Print,mr president did you read newspaper today,Professional & Public services
Esso,United Kingdom,TV & Cinema,adameveddb tell the story of the reindeer princess to show essos role in serving remote communities in new campaign,Automotive & Services
,Portugal,Print,because there are many ways to kill an idea,Professional & Public services
Nokia,Vietnam,Print,with 41 megapixels use it for your advantage,Electronics & Audio-Visual
Pepsi,Mexico,Print,by bye lullaby now with extra caffeine,Food & Beverages
,China,Print,beethovens fifth symphony hang seng bank has sponsored hong kong high school and primary schools music foundation,Financial & Legal services
,Kuwait,Print,c is for cookies and g is for gone wwwchoowygoowycom,Food & Beverages
Amnesty International,Switzerland,TV & Cinema,its not happening here but it is happening now,Public interest & Non-profit
,India,Print,one tiger goes missing in india almost every day make a difference sign up at wwwwwfindiaorgtiger,Public interest & Non-profit
Volvo,Sweden,TV & Cinema,made by sweden – epilogue feat zlatan ibrahimovic,Automotive & Services
Mao Bao,China,Print,mao bao liquid dishwash with palm oil,"House, Garden & Pets"
World Wildlife Fund (WWF),China,Print,save endangered animals before they disappear in front of your eyes,Public interest & Non-profit
,Canada,Print,maybe emergency training is for you,Education
Toyota,United Kingdom,Print,hilux unstoppable,Automotive & Services
Terra Nova,Costa Rica,Print,in a few minutes the sun will be setting behind the historical museum thats right behind you its a great view just like the one from bolshoi kamennyy bridge well no actually its nothing like that one that view is awesome theres no other way to describe it simply the best you should check it out its only a 10 minute walk from where you stand right now,Professional & Public services
,United States,Print,bose quietcomfort 2 acoustic noise cancelling headphones,Electronics & Audio-Visual
Sapolio,Peru,Print,dont let them stay too long,"House, Garden & Pets"
Mercedes-Benz,Brazil,Print,men talk about women sports and cars women talk about men inside sports cars,Automotive & Services
Sofia Express,Colombia,Print,the food you want in the time you have,Food & Beverages
Volkswagen,,TV & Cinema,discover the beauty of longdistance relationships,Automotive & Services
Animal Protection Denmark,,Outdoor,industrial chickens are kept artificially awake  make industrial chickens free chickens  look for our label,Public interest & Non-profit
Plug-Ins,United Arab Emirates,Print, plugout copy its earth hour on 31st march 2012 and our electronics store is joining the world by switching off our lights between 830pm and 930pm what about you baseline a public service message from plugins plugins logo,Public interest & Non-profit
National Center for Problems of Healthy Lifestyle Development,Kazakhstan,Print,call us 727 291 8415 it is anonymous,Public interest & Non-profit
Mercado Livre,Brazil,TV & Cinema,find the magic gifts,Internet sites & Services
Asko,Norway,Print,built to handle mass production introducing the new xxl dishwasher series,"House, Garden & Pets"
Audi,Canada,Ambient & Interactive,wish you had quattro,Automotive & Services
Goes Real Estate Agency,Brazil,Print,inharmonious neighbor nevermore say goodbye to your problems,Professional & Public services
Daffy's,United States,Outdoor,high fashion low prices,Retail & Distribution
Rexona,Uruguay,Outdoor,protection  incredible fragrances new rexona women fragrance collection,Beauty & Health
Green Party,United Kingdom,Outdoor,labour is old news in brighton green 314 conservative 221 labour 145 european elections brighton  hove june 2009,Public interest & Non-profit
Jatpat Digest,India,Print,keep eating keep digesting,Pharmaceutical
,China,Print, you still feel itchy even when you have scratched so badly sign off 999stops itchiness in seconds the thing is calleddoityourself which people use it to scratch their backs,Pharmaceutical
Arena,Italy,Print,arena water instinct,"Culture, Recreation & Sport"
IKEA,China,TV & Cinema,a perfect relationship is about compatibility ikea bridges the gap between urban young man and his african tribal girlfriend  man we are a wrong match lets break up woman no we match lets take the decoration of a bedroom as an example it still looks great with such mix and match we can be the same vo over 2000 bedroom items at ikea mix and match however you like man do we really match woman please dont be silly,"House, Garden & Pets"
Heinz,United Kingdom,Outdoor,real soup on the go,Food & Beverages
,Canada,Print,extra safe guaranteed investments thinkfirstnowcom,Financial & Legal services
Anti-AIDS,Ukraine,TV & Cinema,use condoms let death have some rest,Public interest & Non-profit
The Career Builders,Brazil,Print,the right job keeps you out of trouble,Professional & Public services
Credit Suisse,United Kingdom,TV & Cinema,helping roger federer relax since 1981,Financial & Legal services
Kıvılcım Müzik,Turkey,Print,more powerful sound,"Culture, Recreation & Sport"
Loftas Live,,Outdoor,mp3 is crap compared to live music,"Culture, Recreation & Sport"
,China,Print,kills all concealed germs,"House, Garden & Pets"
Sete Léguas,Brazil,Outdoor,feet have a lot of enemies protect yourself,"Apparel, Clothing, Footwear & Accessories"
Toyota,United States,Print,you cant stop an idea whose time has come,Automotive & Services
,Canada,Ambient & Interactive,death from car accidents 370 death from smokingrelated causes 6027 quit now before it kills you,Public interest & Non-profit
Mammadaba,Latvia,Print,insomnia successfully left behind in latvia state forests,Transport & Tourism
Madrid Zoo,Spain,Print,a lion never uses his strength to humiliate another animals teach us how to be people,"Culture, Recreation & Sport"
SKY,Brazil,Print,there is more to watch in hdtv sky,Media & Publishing
Frauenzentrale ZÜrich,Switzerland,Print,women should not be worth less equal work equal pay,Public interest & Non-profit
Dulux,France,Print,choose yours,"House, Garden & Pets"
,Brazil,Print,peace in traffic you can do much more to saving lives give blood,Retail & Distribution
,Switzerland,Ambient & Interactive,12x optical zoom leica vlux 1,Electronics & Audio-Visual
Tommee Tippee,United States,Print,you want me to switch to what,"House, Garden & Pets"
Sony,Brazil,Print,sony cinealta for scenes that seem difficult,Electronics & Audio-Visual
Amnesty International,France,TV & Cinema,you can save human rights sign,Public interest & Non-profit
Toyota,Angola,Print,its  a yaris it was a yaris the toyota yaris hatchback sport changes your driving forever,Automotive & Services
Makati City,Philippines,Print,a spark is all it takes a message from the makati city fire station call 8185150  8162553 for any emergencies,Public interest & Non-profit
WKSU Folk Festival,United States,Outdoor,polls are open until the bars close,"Culture, Recreation & Sport"
ESPN,United Kingdom,Print,brighton v newcastle live today from 430pm arsenal v aston villa live tomorrow from 330pm subscribe now espncouktv  0844 324 1541   the fa cup is live on espn  the cup of dreams,Media & Publishing
,United States,Ambient & Interactive,people arent the only ones struggling these days,Public interest & Non-profit
J&B,United Kingdom,Print,start a party however you start a party please enjoy it responsibly startapartyherecom,Alcoholic drinks
Aamulehti,India,Print,90 dark chocolate amul,Food & Beverages
WKD,United Kingdom,Outdoor,have you got a wkd side,Food & Beverages
,Chile,Print,not always what you see is really what it is valparaíso january 1st 1208 am,Professional & Public services
,China,TV & Cinema,open on a pair of hands making a cup of coffee in the coffee machine mvoif you want a good cup of coffee this is the way but there is anoter choice a hand comes in and we see the back of the coffee machine is in fact a cardboard mvo with the new melitta coffee kit you can enjoy a good cup of coffee instantly,Food & Beverages
Rockford,Chile,Print,improve your life indicators rkf rockford sportswear stores,Retail & Distribution
Concerto Marketing,Canada,Direct Market,in this the season of multichannel media neutral social network fragmentation wed like to make certain that at least one of your heartfelt wishes makes a true and lasting impression a postage stamp,Media & Publishing
Meat Fight,United States,Print,fresh meat gets smoked,Public interest & Non-profit
IBM,China,TV & Cinema,to highlight the importance of understanding customers needs the commercial shows the problem of second guessing customers the customer is annoyed by the two salespersons who started to talk before he has a chance to speak vo understand customer needs ibm customer relationship management solution superecustomer relationship management,Professional & Public services
Tide,Australia,Print,surprisingly white shorts,"House, Garden & Pets"
Greenwich Pizzas,Philippines,Print,i wish i were an octopus so id have more arms to hold you greenwich xtreme cheese pizzas,Food & Beverages
,China,TV & Cinema,at a banquet a man asks his friends for a loan the friends list their lending criteria but unfortunately the man cannot fulfill any of them the friends just deserted him  after everybody has gone two men start singing aloud in order to show their support to the man they are primecredit brothers  friend a hey are you okay man i need help on cash flow friend b do you have income proof friend c is you income regular friend d you cannot determine the repayment amount do you,Financial & Legal services
Nomolt,Brazil,Print,the end of the caterpillar is near,"House, Garden & Pets"
Miami Ad School,Brazil,Print,quarter away internship program here you learn by doing,Education
Best Buy,United States,TV & Cinema,game on santa,Retail & Distribution
Mentos,Brazil,Print,share mentos fruit if you can,Food & Beverages
Louisville Slugger,United States,Outdoor,rallies start in a blur,"Culture, Recreation & Sport"
Nescafé,Peru,Print,when sleepy the best ideas may not seem to be,Food & Beverages
,,Print,borderless printing xerox,Electronics & Audio-Visual
,China,Print,the people of shanghai will not keep you waiting long even if it is just to get your water delivered,Food & Beverages
,,Print,koll exchange your apartement online,"House, Garden & Pets"
Adelgazul,Chile,Print,pure fiber adelgazul sport,Food & Beverages
FEVR,Belgium,Print,every year over 1300 children die in road traffic crashes in europe over 100000 are seriously injured please drive carefully and help make our roads and streets safer a message from the european federation of road traffic victims,Public interest & Non-profit
Electrolux,Thailand,Print,get into everywhere,"House, Garden & Pets"
Laurier,Indonesia,Print,for active sleepers,Beauty & Health
,Australia,Print,keep the whole set,"House, Garden & Pets"
Rubbermaid,Brazil,Print,yeah these guy will never get along together rubbermaid organize your home organize your life,"House, Garden & Pets"
Rio Carioca Beer,Brazil,Print,im the best beer beach,Alcoholic drinks
Radio Free Europe / Radio liberty,Ukraine,Print,the truth liberates,Media & Publishing
Peugeot,China,Print,now when you do a beautiful turn its not necessary to shift from left to right with the new peugeot 306 xsi king of the curves automatic gear,Automotive & Services
Honda,Portugal,Print,your ears can help you park honda jazz with front and rear parking sensors honda the power of dreams,Automotive & Services
,Mexico,Print,find your personal wherever they are nextel presents ifollow ifollow the tool that allows you to follow your personal in a map in the schedules you want with the gps integrated in all nextel equipments,Electronics & Audio-Visual
K&G Fashion,United States,Print,invincible now at defiantly low prices,Retail & Distribution
Yara,,Print,your crop is unique so is the solution for it yara megalab each crop deserves single solution,Industrial & Agricultural
Viking,Thailand,Print,for faster fruiting,Industrial & Agricultural
,China,Print,fresh ideas for life at cityplaza you will find all kinds of dining entertainment and leisure ideas to bring a fresh meaning to life,Professional & Public services
Oral-B,Brazil,Print,oralb stages for you to brush your babys teeth,Beauty & Health
Sea Life Scheveningen,Netherlands,Ambient & Interactive,sea life never lets you go,Public interest & Non-profit
Pro Wildlife,,Print,trigger your rescue mission at prowildlifede,Public interest & Non-profit
,China,Print,chinese characters everlasting love,Professional & Public services
Just,China,Print,confessions of a real woman sometimes i an really like a cat,"Apparel, Clothing, Footwear & Accessories"
Volkswagen,Russia,Print,the new volkswagen amarok captured by nature,Automotive & Services
Eyezone,,Print,not everyones that distinctive,"House, Garden & Pets"
O2,Brazil,Print,get in shape without photoshop,"Culture, Recreation & Sport"
InMedica,Lithuania,Outdoor,spending hours in the restroom in vain,Beauty & Health
Domino's Pizza,Brazil,Print,veggie pizza,Food & Beverages
Peugeot,Australia,Print,peugeot 407 with 3d sat nav technology,Automotive & Services
Grupo Vhiver,Brazil,Outdoor,putting an end to aids is not that simple putting an end to discrimination should be,Public interest & Non-profit
Camara do Livro,Brazil,Print,how long has it been since the last youve read,Media & Publishing
Rolf Benz,Germany,Print,what trees dream about,"House, Garden & Pets"
Sierra Mist,United States,TV & Cinema,shockingly refreshing,Food & Beverages
Yamaha,Italy,Print,waverunner fx sho the unstoppable one,Automotive & Services
,Netherlands,Print,our free interior architect refines your home not your habits make an appointment on villaarenanl,"House, Garden & Pets"
Gard,Germany,Print,volume that keeps up longer extra strong hairspray,Beauty & Health
Roastar,United States,Print,let your freak bag fly custom printed coffee bags,"Apparel, Clothing, Footwear & Accessories"
Radioacktiva,Colombia,Direct Market,radioacktiva rock is born a tshirt inspired at the moment of birth to pass on the rock passion,Media & Publishing
Viver Pra Valer,,Print,put child obesity on offline mode,Public interest & Non-profit
Döhler,Brazil,Direct Market,driving in the rain grumpy husband two crying children nothing like a döhler towel when youre arriving in pieces your guests deserve good care and comfort service line döhler bed bath kitchen and decorative fabrics,"House, Garden & Pets"
McDonald's,Denmark,Print,free wifi served at all restaurants,Food & Beverages
Newfoundland and Labrador Tourism,Canada,Print,its what youd call a lovehate relationship brook trout hate gord gord loves brook trout,Transport & Tourism
Palm Bay,Canada,Print,i saw titanic in theatres real men act like women real men drink palm bay,Food & Beverages
,Belize,Print,your notebook totally available on the backseat of your car,Industrial & Agricultural
SPDA,Peru,Print,nature has an army peruvian society of environmental rights 25 years,Public interest & Non-profit
,China,Print,visual a play on the ocean park logo and a school emblem we have no minimum entry requirement so if you are a current hkcee local secondary school exam student come and take a break,Transport & Tourism
,India,Print,indias most fuel efficient engine is here someday there will be a bike for it,Industrial & Agricultural
,China,Print,drink and drive and you can enjoy superb cuisine in heaven again,Public interest & Non-profit
Green Shanghai,China,Print,karma recycles so should you,Public interest & Non-profit
Mini,Canada,Ambient & Interactive,let there be xenon new still mini,Automotive & Services
Follihair,India,Print,helps strengthen stimulate  nourish,Beauty & Health
Andiamo,Australia,Outdoor,andiamo rolling out authentic italian daily,"Culture, Recreation & Sport"
World of Threads,Brazil,Print,life is made of fragments beauty comes from how we sew them,"Apparel, Clothing, Footwear & Accessories"
Eshe Streetwear,New Zealand,Outdoor,religion is garbage brainwashin brian,"Apparel, Clothing, Footwear & Accessories"
,Switzerland,Print,the best thing to happen to fresh ingredients,"Culture, Recreation & Sport"
Sparkasse,Germany,Print,invest cleverly with investment products by sparkasse,Financial & Legal services
Ford,Argentina,Print,equipped with a monitoring system that tells you what happened with each truck in your fleet,Automotive & Services
Adult women’s bicycles,United States,Print,whens the last time an app blew wind through your hair tag still your ride,"Culture, Recreation & Sport"
Electrolux,Brazil,Print,facile the new high pressure washer from electrolux just pull the trigger and finish with all the mess pretty much like hollywood movies,Electronics & Audio-Visual
Don de Vie,France,Outdoor,heres my bone marrow its my choice and it has no price,Public interest & Non-profit
Lexus,Argentina,Print,for those with environmental awareness and 72000 dollars,Automotive & Services
Dr. Nitish Bhardwaj,India,Ambient & Interactive,memory loss consult dr nitish bhardwaj,Professional & Public services
GoSaimaa.com,Finland,Print,great finnish experiences experience the refreshing power of water in the spas of lappeenranta and imatra let the water soothe and pamper you spahotels offer you a variety of wellbeing services that´ll make you want to stay longer saimaa offers new experiences when holiday club opens up it´s new resort in october 2011 welcome to saimaa,Transport & Tourism
Alcampo,Spain,TV & Cinema,something better every day the alcampo life,Retail & Distribution
Lifebanc,United States,Print,run 262 miles for charity or check this box then watch a kardashians marathon good made easy,Public interest & Non-profit
Pizza&Love,Spain,Print,free love pizzalove we make pizza not war,Food & Beverages
,China,Print,left captionthe steps for serving tea right captionif you can handle such a complicated taskyou wont have any problem in using tcls one touch internet service,Electronics & Audio-Visual
,China,Print,vinda tissue,"House, Garden & Pets"
,Romania,Print,we succeed together,Financial & Legal services
Tiscali,France,Print,we prefer you free,Professional & Public services
One Life,Canada,TV & Cinema,to those who dont see the danger hiv is still here take action,Public interest & Non-profit
,Portugal,Print,stories that the foods never had a chance to tell,Media & Publishing
,China,Print,children with thalassaemia have to live with blood transfusion for their whole lifeand ironreducing injection daily one prenatal checkup is all it takes to prevent it,Public interest & Non-profit
Prison Blues,United States,Print,others use sex to sell their jeans in our case that didnt seem appropriate prison blues made on the inside to be worn on the outside,"Apparel, Clothing, Footwear & Accessories"
,Portugal,Print,genealogical history of the portuguese royal family an unpublished work that some thought had been consigned to history,Media & Publishing
Club Atlético De Madrid,Spain,TV & Cinema,the heart has resons that reason does not understand,"Culture, Recreation & Sport"
Campanile,France,Print,happiness guaranteed,Transport & Tourism
Forbes,Brazil,Print,ellen musk probably wouldnt have developed tesla femaleled companies get only 16 of loans made every year more opportunities more women on the list,Media & Publishing
Red Ballon,Brazil,Print,phrasal verbs it only gets harder red ballon english for kids,Education
Carnes & Carnes,Colombia,Print,new frozen line,Food & Beverages
,Belgium,Print,faster online gaming,Electronics & Audio-Visual
El Mostrador,Chile,Print,news changes fast,Media & Publishing
Swedish Fish,United States,Print,1 not förmented jöst fish 2 guaranteed free fröm omega3  3 here häve söme fish,Food & Beverages
Dyo,Turkey,Print,fire resistance technology for buildings,"House, Garden & Pets"
Billboard,Argentina,Print,argentina was needing its own chart,Media & Publishing
Ford,Spain,Print,it wont last long 6200€ discount only till the end of the month,Automotive & Services
Honda,Brazil,Print,honda motorcycles the journey is the destination,Automotive & Services
,Singapore,Print,there will be no gaps when you wear clothes,Professional & Public services
Land Rover,United States,Print,freelander 2 for all terrains,Automotive & Services
Carlsberg,Belarus,TV & Cinema,that calls for a carlsberg,Alcoholic drinks
,India,Print,discover yourself in lace,"Apparel, Clothing, Footwear & Accessories"
Emirates,United Arab Emirates,Print,dubai welcomes you to the fun say hello to the home of tomorrow fly emirates to dubai and soak up blue skies endless sun perfect sandy beaches and dive into funfilled water parks hello tomorrow emirates,Transport & Tourism
,,Print,heals their burn and your guilt fast,Beauty & Health
EA - Electronic Arts,United States,TV & Cinema,authentic hockey action wii hockey stick,Toys & Games
Peugeot,Brazil,Print,dont air guitar and drive 207 sedan in concert with ultimate generation sound,Automotive & Services
,China,Print,why you have to bear such a 15year burden just for a 15m2 study room,Financial & Legal services
Calcalist,Israel,Print,read it makes a difference,Media & Publishing
La Caixa,Spain,TV & Cinema,lets talk ,Financial & Legal services
Joy Dishwashing Liquid,Philippines,Print,still using laundry bars on your plates you might as well wear them,"House, Garden & Pets"
,Spain,Print,getting into drugs may give you a life inside,Public interest & Non-profit
Copella,United Kingdom,Print,egremont russet idared ribston pippin its not how they finished at ascot but how apples start out at boxford farm the fruit of our knowledge,Food & Beverages
Tramontina,Brazil,Print,tramontina professional knives,"House, Garden & Pets"
Bingo,Bolivia,Print,treat yourself,"Culture, Recreation & Sport"
Lee Jeans,United Kingdom,Print,body optix brought to you by lee,"Apparel, Clothing, Footwear & Accessories"
Toyota,Canada,Print,smart key system unlocks with a touch,Automotive & Services
RATP,France,Outdoor,on track together,Transport & Tourism
Publimetro,Chile,Print,publimetrocl follows you,Media & Publishing
Nicabate,Australia,Print,australia day a great day to give up while celebrating australia day you may have slipped please dont give up on giving up to stay on the right track go to nicabatecomau,Pharmaceutical
Pineda,Philippines,Print,it makes a difference,Professional & Public services
Maria Conta,Brazil,Print,she didnt look like a girl said the guy who didnt look like a criminal,Public interest & Non-profit
,Indonesia,Print,faster than you think the new slk 55 amg with 360 hp,Automotive & Services
Miracle Flights,United States,Print,we have a cure for distance,Beauty & Health
Nissan,France,Print,symmetry sucks new nissan cube humans arent symmetrical why should their cars be visit us on cubelistcouk,Automotive & Services
PersonalMusica.com,Argentina,Print,not everything they do it good download just the song you like personalmusicacom,Media & Publishing
France ADOT,France,Print,its never too late to become a better person donate your organs after your death,Public interest & Non-profit
Salzburg Zoo,Austria,Print,lion rendezvous with the king welcome to the night zoo,"Culture, Recreation & Sport"
Gilde Foods,Norway,TV & Cinema,bbq season is here,"House, Garden & Pets"
Sonheria Dulca,Brazil,Print,keep their mouth busy,Food & Beverages
Nike,France,Print,nike paris now open on the champselysees,"Apparel, Clothing, Footwear & Accessories"
,Brazil,Print,arno blender mixes everything perfectly,"House, Garden & Pets"
13th Street Channel / 13ème Rue,France,TV & Cinema,if we had to make a sports show this is how wed do it,Media & Publishing
Webroot Internet Security Complete,United States,Print,i spent hours trying to figure out what to give you this year inside then i found this free card and coupon in a magazine,Internet sites & Services
Lancia,France,Print,new musa gpl more than 1200km on a full tank,Automotive & Services
Calgary Farmers' Market,Canada,Print,the new crop is here,Retail & Distribution
Pepsi,Spain,Print,pepsi with the real madrid until the ultimate consequences,Professional & Public services
,China,Print,there is a place for everyone in our heart claim because we care for the different needs of our passengers special facilities for those in wheelchairs hearing disabilities and the blind can be found at our stations,Professional & Public services
Sony,Brazil,Print,new cdxgt27 your private concert,Electronics & Audio-Visual
GGB,Brazil,Print,sexual diversity week and 11th  gay parade a good reason to go out music workshops debates and much more exhibition workshops debates and much more,"Culture, Recreation & Sport"
WildAid,Ecuador,Print,although less popular our problems are more important oil spills can kill the galapagos islands be careful,Public interest & Non-profit
Calgary Zoo,Canada,Ambient & Interactive,more real more scary,"Culture, Recreation & Sport"
NYC Botanics,United States,Print,mostly good even though our cbd oil has a trace of the naughty thc it will not get thee stoned it just works on inflammation anxiety and chronic pain amen to the mostly good my brothers and sisters,Beauty & Health
Wild Wadi Water Park,United Arab Emirates,Print,shy sally in a not so shy mood on our corporate fun day wild wadi corporate events a day out thats way out,"Culture, Recreation & Sport"
,United States,Outdoor,hospital gowns dont come in black leather ride aware,Public interest & Non-profit
Pilsen Callao,Peru,TV & Cinema,were not crazy were just friendsthats why we celebrate with pilsen callao pilsen callao the taste of true friendship,Alcoholic drinks
Volkswagen,South Africa,Print,your office water cooler put life in perspective,Automotive & Services
Mercedes-Benz,Germany,Print,the first brake that reads the street,Automotive & Services
Career One,Australia,Print,richard branson manager find the job youre suited to careeronecomau,Professional & Public services
Axe/Lynx,Colombia,Ambient & Interactive,discover the power of leather,Beauty & Health
Volkswagen,Germany,Print,see things before they get dangerous the volkswagen side assist,Automotive & Services
IKEA,Singapore,Print,to look pretty in christmas you need some makeup,"House, Garden & Pets"
Sci Fi Channel,,Print,they are among us,Media & Publishing
Smirnoff,Switzerland,Print,serve extra chilled at the jazz bar montreux,Alcoholic drinks
World Oceans Day,United Kingdom,Print,plastic spoils the scene,Public interest & Non-profit
Worksafe,Canada,Print,injuries to grocery clerks shelf stockers and cashiers are more common than you think you have a responsibility to work safely your employer has a responsibility to show you how whats your job worth to you,Public interest & Non-profit
Johannesburg Zoo,South Africa,Print,animals cant be recycled please dont litter,"Culture, Recreation & Sport"
Italo,Italy,Print,italo high speed train is a partner of arte fiera international exhibition of contemporary art january 2528 2013 bologna,Transport & Tourism
Detran-RS,Brazil,Direct Market,is that how you are planning on finishing your trip recklessness kills traveling safe detran  rio grande do sul,Automotive & Services
,China,Print,every night in chimelong night zoothere are one hundred and twentyeight exciting shows,Transport & Tourism
,China,Print,sustain your last pillar of consciousness,Pharmaceutical
Audi,Spain,Print,detect what you dont manage to see the new audi q5 with side assist youll never drive alone,Automotive & Services
,Brazil,Print,wickbold light rehabilitation program for exfatties,Food & Beverages
Equate,Guatemala,Print,remove before the problem grows up,Beauty & Health
,China,Print,spring metamorphosis butterfly,"Apparel, Clothing, Footwear & Accessories"
,China,Print,they dont know how to say no but you do dont tolerate sexual harassment in the office,Public interest & Non-profit
Feltrinelli,Italy,Print,whats leading your behavior,Media & Publishing
Reef n' Beef,Denmark,Print,if its not australian its not on the menu,Food & Beverages
Viagra,,Print,unleash the beast,Pharmaceutical
Oddset,Sweden,Print,all you need is an option,Toys & Games
Tramontina,Chile,Print,made for fish,"House, Garden & Pets"
ENPA,Italy,Print,plan your holidays with your pets on petholidayorg,Public interest & Non-profit
,United States,Print,urgent care for fearless knights,Public interest & Non-profit
Ottawa International Animation Festival,Canada,Outdoor,get in touch with your inner child and scar it for life,"Culture, Recreation & Sport"
Just,China,Print,with love i can survive on water alone a commonlyused idiom but if its french mineral water then its even better,"Apparel, Clothing, Footwear & Accessories"
Pantene,United States,TV & Cinema,every little bit helps,"House, Garden & Pets"
13th Street Channel / 13ème Rue,France,Print,the tv show where bad guys are 10 microns tall,Media & Publishing
,Chile,Print, dad i was with 10 dogs in one night  i always knew you were like your mother its a dogs life but light,"House, Garden & Pets"
,Turkey,Print,greater washing capacity w 3000 series washing machine,Industrial & Agricultural
TrueCar,United States,TV & Cinema,buying a car can be overwhelming its a process filled with anxiety,Automotive & Services
Mercedes-Benz,Germany,Print,makes hard work easier to handle the new mercedesbenz sprinter with innovative eco gear manual transmission,Automotive & Services
,Honduras,Print,juego de dobles a way of playing tennis in which two pair of players compete against each other at a match its time you learn more about tennis with the new weekly  school of sports from diario diez absolutly free every thursday,Media & Publishing
T-Mobile,United States,TV & Cinema,get more from life,Professional & Public services
Volkswagen,Spain,TV & Cinema,in the end the sun always comes out,Automotive & Services
,Canada,Print,dreaming of a mediterranean cruise visit cruiseshipcenterscom,Transport & Tourism
Döhler,Brazil,Print,dont even try saving the others prefer the best hospital line,"Apparel, Clothing, Footwear & Accessories"
Club Shandy,Namibia,Outdoor,dont miss the great refreshing taste a taste to thirst for a pretty package filled with great taste,Alcoholic drinks
